1933.1.1,OWNED,29,ACTIVE,BUILDING,1,CT0013,1,Will Conform,97072,HARTFORD,HARTFORD COUNTY,135 HIGH ST,CT,61031125,06103,00042,-00073
2019.1.1,OWNED,0,ACTIVE,BUILDING,3,CT0024,1,Will Conform,67717,NEW HAVEN,NEW HAVEN COUNTY,141 CHURCH ST,CT,65102001,06510,00041,-00073
1933.1.1,LEASED,2,ACTIVE,BUILDING,5,CT0047,1,Will Conform,7442,WATERBURY,NEW HAVEN COUNTY,135 GRAND ST,CT,67029998,06702,00042,-00073
1963.1.1,OWNED,103,ACTIVE,BUILDING,1,CT0053,1,Will Conform,203175,HARTFORD,HARTFORD COUNTY,450 Main St,CT,61031804,06103,00042,-00073
1967.1.1,OWNED,131,ACTIVE,BUILDING,4,CT0059,1,Will Conform,86215,BRIDGEPORT,FAIRFIELD COUNTY,915 LAFAYETTE BLVD,CT,66044706,06604,00041,-00073
1969.1.1,OWNED,5,ACTIVE,BUILDING,5,CT0060,1,Will Conform,5052,TORRINGTON,LITCHFIELD COUNTY,147 Litchfield St,CT,67906407,06790,00042,-00073
1977.1.1,OWNED,74,ACTIVE,BUILDING,3,CT0061,1,Will Conform,82729,NEW HAVEN,NEW HAVEN COUNTY,150 Court St,CT,65112020,06511,00041,-00073
0,LEASED,164,ACTIVE,BUILDING,1,CT3316,1,Will Conform,37395,EAST HARTFORD,HARTFORD COUNTY,130 DARLIN ST,CT,61083234,06108,00042,-00073
0,LEASED,8,ACTIVE,BUILDING,4,CT3319,1,Will Conform,5020,STAMFORD,FAIRFIELD COUNTY,101 BROAD ST,CT,69012797,06901,00041,-00074
0,LEASED,1,ACTIVE,BUILDING,3,CT3322,1,Will Conform,5045,MIDDLETOWN,MIDDLESEX COUNTY,425 Main St,CT,6457,06457,00042,-00073
0,LEASED,0,ACTIVE,BUILDING,1,CT3323,1,Will Conform,15150,EAST HARTFORD,HARTFORD COUNTY,333 E RIVER DR,CT,61084200,06108,00042,-00073
0,LEASED,5,ACTIVE,BUILDING,3,CT3326,1,Will Conform,3293,NEW HAVEN,NEW HAVEN COUNTY,55 WHITNEY AVE,CT,65101300,06510,00041,-00073
0,LEASED,46,ACTIVE,BUILDING,3,CT3331,1,Will Conform,95786,NEW HAVEN,NEW HAVEN COUNTY,157 CHURCH ST,CT,65102100,06510,00041,-00073
0,LEASED,35,ACTIVE,BUILDING,3,CT3341,1,Will Conform,18070,NEW HAVEN,NEW HAVEN COUNTY,265 CHURCH ST,CT,65107013,06510,00041,-00073
0,LEASED,2,ACTIVE,BUILDING,1,CT3351,1,Will Conform,5200,GLASTONBURY,HARTFORD COUNTY,628 Hebron Ave,CT,60332411,06033,00042,-00073
0,LEASED,39,ACTIVE,BUILDING,5,CT3354,1,Will Conform,11670,MERIDEN,NEW HAVEN COUNTY,530 Preston Ave,CT,64504893,06450,00042,-00073
0,LEASED,28,ACTIVE,BUILDING,2,CT3358,1,Will Conform,6306,NEW LONDON,NEW LONDON COUNTY,2 Shaws Cv,CT,6320,06320,00041,-00072
0,LEASED,103,ACTIVE,BUILDING,4,CT3360,1,Will Conform,31055,BRIDGEPORT,FAIRFIELD COUNTY,1000 LAFAYETTE BLVD,CT,66044725,06604,00041,-00073
0,LEASED,11,ACTIVE,BUILDING,3,CT3362,1,Will Conform,1950,MIDDLETOWN,MIDDLESEX COUNTY,213 COURT ST,CT,64573346,06457,00042,-00073
0,LEASED,4,ACTIVE,BUILDING,2,CT3363,1,Will Conform,1507,GROTON,NEW LONDON COUNTY,904 POQUONNOCK RD,CT,63404259,06340,00041,-00072
0,LEASED,9,ACTIVE,BUILDING,1,CT3369,1,Will Conform,21432,HARTFORD,HARTFORD COUNTY,20 Church St,CT,61031221,06103,00042,-00073
0,LEASED,28,ACTIVE,BUILDING,1,CT3373,1,Yes,12906,EAST HARTFORD,HARTFORD COUNTY,101 PITKIN ST,CT,61083316,06108,00042,-00073
0,LEASED,220,ACTIVE,BUILDING,3,CT3375,1,Yes,78826,NEW HAVEN,NEW HAVEN COUNTY,600 State St,CT,65116505,06511,00041,-00073
0,LEASED,1,ACTIVE,BUILDING,5,CT3376,1,Yes,8439,DANBURY,FAIRFIELD COUNTY,131 WEST ST,CT,68106376,06810,00041,-00073
0,LEASED,52,ACTIVE,BUILDING,2,CT3389,1,Yes,10302,TOLLAND,TOLLAND COUNTY,344 MERROW RD,CT,60843917,06084,00042,-00072
0,LEASED,8,ACTIVE,BUILDING,1,CT3393,1,Yes,5198,HARTFORD,HARTFORD COUNTY,10 COLUMBUS BLVD,CT,61061976,06106,00042,-00073
0,LEASED,5,ACTIVE,BUILDING,1,CT3395,1,Yes,11825,WINDSOR LOCKS,HARTFORD COUNTY,334 Ella Grasso Tpke,CT,60961042,06096,00042,-00073
0,LEASED,25,ACTIVE,BUILDING,2,CT3398,1,Yes,6065,WILLIMANTIC,WINDHAM COUNTY,1320 MAIN ST,CT,62261940,06226,00042,-00072
0,LEASED,0,ACTIVE,BUILDING,2,CT3400,1,Yes,1137,NEW LONDON,NEW LONDON COUNTY,5 SHAWS CV,CT,63204974,06320,00041,-00072
0,LEASED,164,ACTIVE,BUILDING,2,CT3402,1,Yes,47200,NEW LONDON,NEW LONDON COUNTY,1 CHELSEA ST,CT,63205506,06320,00041,-00072
0,LEASED,10,ACTIVE,BUILDING,1,CT3403,1,Yes,22050,HARTFORD,HARTFORD COUNTY,960 MAIN ST,CT,61031224,06103,00042,-00073
0,LEASED,40,ACTIVE,BUILDING,4,CT3408,1,Yes,8621,SHELTON,FAIRFIELD COUNTY,6 ARMSTRONG RD,CT,64844722,06484,00041,-00073
0,LEASED,0,ACTIVE,BUILDING,3,CT3409,1,Yes,459,NEW HAVEN,NEW HAVEN COUNTY,155 Burr St,CT,65123652,06512,00041,-00073
0,LEASED,3,ACTIVE,BUILDING,2,CT3410,1,Yes,1004,TOLLAND,TOLLAND COUNTY,36 Buff Cap Rd,CT,60842604,06084,00042,-00072
2009.6.25,LEASED,17,ACTIVE,BUILDING,1,CT3412,1,Yes,5303,HARTFORD,HARTFORD COUNTY,21 OAK ST,CT,61068003,06106,00042,-00073
2009.4.1,LEASED,15,ACTIVE,BUILDING,3,CT3413,1,Yes,27394,HAMDEN,NEW HAVEN COUNTY,15 Marne St,CT,6514,06514,00041,-00073
2008.2.1,LEASED,22,ACTIVE,BUILDING,2,CT3414,1,Yes,6266,NEW LONDON,NEW LONDON COUNTY,2 Union Plz,CT,63206309,06320,00041,-00072
2009.10.1,LEASED,32,ACTIVE,BUILDING,1,CT3416,1,Yes,13705,ROCKY HILL,HARTFORD COUNTY,716 Brook St,CT,60673433,06067,00042,-00073
2009.9.1,LEASED,28,ACTIVE,BUILDING,3,CT3418,1,Yes,11162,NEW HAVEN,NEW HAVEN COUNTY,55 Church St,CT,65103014,06510,00041,-00073
2009.3.19,LEASED,6,ACTIVE,BUILDING,4,CT3421,1,Yes,1380,STAMFORD,FAIRFIELD COUNTY,888 WASHINGTON STREET,CT,69012902,06901,00041,-00074
2009.6.25,LEASED,40,ACTIVE,BUILDING,1,CT3425,1,No,6314,EAST HARTFORD,HARTFORD COUNTY,474-484 BURNSIDE AVENUE,CT,61082425,06108,00042,-00073
